ResponseId,Q409,eBMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud
R_2Y0FGFIIlQOWtB7,Yanny,109,19,20,20,19,17,14,5.473684211,5.666666667,5.888888889,3.571428571,6.833333333,6.333333333,5.388888889,109,8,1,0,1,1,1,0,1,2,0,0,7
R_2y7qxbuwjS1eSIA,Yanny,84,13,14,15,18,12,12,4.210526316,3.888888889,5.111111111,2.142857143,5.666666667,5,3.722222222,104,14,3,0,2,0,4,1,1,2,0,1,10
R_2zClipY4ifLOrrk,Yanny,95,17,19,18,14,15,12,4.184210526,4,4.444444444,2.857142857,5,5.5,3.277777778,115,18,3,1,3,1,4,2,2,2,0,0,14
R_2zkF5ejb8s3PsMM,Laurel,98,20,20,20,15,12,11,4.157894737,3.777777778,5.333333333,2.571428571,5.5,4.166666667,3.722222222,121,9,3,0,1,0,1,1,2,0,0,0,8
R_2zToeA7yNzBrO1U,Laurel,77,15,15,16,13,13,5,2.605263158,1.666666667,3.555555556,1.285714286,2.333333333,4.833333333,1.555555556,73,10,1,0,3,1,3,0,0,2,0,0,7
R_2ZUMDJQD5psP7vr,Yanny,99,20,14,20,15,18,12,5.473684211,3.888888889,5.888888889,5.571428571,7.5,6,5.222222222,117,16,2,0,3,1,3,0,5,2,0,0,13
R_30AxVcbNXbsZGAj,Laurel,102,18,19,20,17,14,14,3.447368421,4.777777778,3.222222222,1.571428571,3.166666667,4.833333333,2.777777778,120,17,0,6,3,0,3,2,1,1,0,0,14
R_30dxqGy3HOLwlAT,Yanny,114,20,20,20,15,20,19,5.315789474,5.222222222,5.222222222,4.571428571,7.166666667,5.5,5.055555556,159,10,0,2,1,0,3,0,2,1,0,1,7
R_30JmyviyooXgx6A,Laurel,80,15,15,16,12,12,10,3.447368421,2.777777778,4.888888889,1.571428571,4.166666667,4.333333333,2.722222222,91,22,1,2,4,0,6,1,3,3,1,1,16
R_31LHeD9D8uGULpn,Yanny,112,20,20,19,17,17,19,4.394736842,4.555555556,5.666666667,1.714285714,3.833333333,6.666666667,3.111111111,146,5,1,1,1,0,0,1,0,0,0,0,5
R_32lUa1NU74ooNej,Laurel,111,20,20,20,16,17,18,4.131578947,4.666666667,4,1.142857143,5.166666667,6.666666667,3.722222222,158,14,2,1,4,1,2,0,1,2,0,0,12
R_32QDPvDNbBJEWiy,Yanny,75,16,9,16,15,8,11,3.710526316,2.444444444,5.777777778,2.428571429,3.5,4.833333333,3.166666667,95,17,1,3,3,0,6,1,3,0,0,0,11
R_34Ej6A4wQyz1Oo1,Yanny,54,6,7,15,14,6,6,3.421052632,3,5.111111111,2.428571429,2.833333333,3.833333333,2.722222222,55,14,1,0,3,0,5,0,1,2,0,1,9
R_34GcjF78duDEIpf,Laurel,120,20,20,20,20,20,20,5.868421053,5.555555556,7,3.142857143,7.666666667,7,5.666666667,166,18,1,3,4,0,3,2,2,2,1,0,15
R_35AdQfLWSM6VxQg,Laurel,107,19,18,19,19,16,16,4.894736842,5.444444444,6,1.428571429,5.5,6.666666667,3.888888889,138,2,0,0,1,0,0,0,1,0,0,0,2
R_37XyOdUUymJQPfz,Yanny,96,19,16,18,14,12,17,4.289473684,3.888888889,5.333333333,1,5.833333333,6.333333333,3.222222222,137,10,0,3,2,0,3,0,1,1,0,0,7
R_3a8yLXQdoDn58TD,Yanny,62,14,20,5,9,5,9,2.473684211,1.111111111,5.111111111,1,2.666666667,2.5,1.666666667,49,22,1,0,4,0,6,1,6,3,1,0,16
R_3BMDIqi3f3VUdnb,Yanny,98,18,20,16,15,16,13,5.157894737,4.555555556,5.777777778,5,5.666666667,5.666666667,4.888888889,109,4,1,1,0,0,1,0,1,0,0,0,3
R_3Bo3qTuUl8gtBZm,Yanny,86,18,6,20,15,12,15,3.263157895,3.222222222,4.888888889,1.142857143,2,5.166666667,2.388888889,88,20,3,1,6,1,3,0,2,2,1,1,17
R_3C7TnbDC83ssGdP,Yanny,107,20,20,20,15,18,14,4.263157895,2.666666667,5.444444444,1,7.166666667,6.5,3.722222222,138,10,3,0,4,0,0,0,1,2,0,0,10
R_3Cl483dVOpQ4fTp,Yanny,92,13,19,20,16,12,12,4.236842105,3.777777778,5.888888889,1,4.833333333,6.333333333,3.611111111,108,15,1,0,6,1,1,0,3,2,0,1,14
R_3DBDRHAIuRDZ5s8,Laurel,91,13,16,18,17,12,15,3.868421053,3.444444444,4.777777778,1.857142857,5.5,4.5,3.611111111,123,13,2,0,2,1,3,1,1,2,0,1,10
R_3Eoae121FF4JEvl,Yanny,95,18,17,19,13,13,15,4.631578947,3.444444444,5.666666667,3,6.166666667,6,4.333333333,127,11,0,1,1,0,3,2,3,1,0,0,8
R_3fAntSgUdBR2jCx,Yanny,108,19,20,19,17,17,16,4.868421053,4.555555556,6,2.428571429,5.5,6.666666667,4.111111111,133,4,1,0,1,0,2,0,0,0,0,0,2
R_3FeNr1BnAkCEktb,Yanny,107,15,20,20,17,16,19,4.236842105,4.777777778,6.555555556,1.142857143,2.166666667,6.333333333,3.111111111,140,8,0,0,2,0,3,1,0,1,0,1,5
R_3fNSEQhjSeWpQAf,Yanny,68,4,12,12,12,13,15,2.894736842,2,4.888888889,1,3.333333333,3.5,2,87,13,0,2,5,0,2,1,0,2,0,1,11
R_3FRkEdhOHAj7LU2,Yanny,93,16,16,16,15,14,16,4.052631579,4.111111111,4.888888889,1.714285714,4.833333333,5.333333333,3.222222222,110,9,1,0,3,0,2,0,0,2,0,1,7
R_3fuGRxSxEVRjRVu,Yanny,100,20,17,20,19,16,8,5.052631579,5.444444444,6.888888889,1,5.666666667,6.666666667,4.388888889,95,5,0,1,1,0,2,0,1,0,0,0,3
R_3g25jImEAzrt1P2,Laurel,108,20,18,20,15,15,20,5.421052632,4.888888889,6.888888889,1.857142857,7.5,7,4.722222222,144,3,0,0,1,0,1,0,1,0,0,0,2
R_3g5BlJRANvrRVIu,Yanny,112,20,19,20,19,18,16,5.473684211,5.444444444,7,2.571428571,6.166666667,6.833333333,4.777777778,122,1,0,0,0,0,0,0,0,1,0,0,1
R_3GdGBXwe6OoULte,Laurel,107,18,15,20,14,20,20,4.394736842,4.777777778,4.111111111,3.857142857,5.5,4.5,4,147,27,1,3,4,1,4,6,4,1,1,2,23
R_3hcNxgFhd6VdcEH,Laurel,57,12,15,7,8,8,7,2.631578947,1,5.444444444,1,1.833333333,4,1.444444444,62,21,3,2,4,0,8,3,0,1,0,0,13
R_3iIrm62YJ12blkD,Yanny,106,20,19,19,17,15,16,4.447368421,3.444444444,4.777777778,4.142857143,5.333333333,5.666666667,4.166666667,142,4,0,0,1,1,1,0,0,0,0,0,3
R_3Ish8rpJjZ9At8d,Yanny,107,20,20,20,20,19,8,4.131578947,4.444444444,3.777777778,2.571428571,5.833333333,5,4.222222222,109,8,0,1,2,0,2,2,1,0,0,0,6
R_3ixqZS6P0VwbBOw,Yanny,85,11,16,20,12,16,10,3.447368421,3.111111111,4.777777778,1.857142857,3.5,4.333333333,2.833333333,88,21,4,1,4,1,4,0,5,2,0,0,17
R_3IY0rzENNxbk1OO,Laurel,43,11,5,9,5,9,4,1.526315789,1,1.666666667,1,1.833333333,2.666666667,1.166666667,46,8,0,0,3,0,3,0,1,1,0,0,5
R_3J6vbV8dygitvMJ,Yanny,98,17,14,20,12,18,17,4.552631579,4.555555556,4.666666667,3,5.166666667,6.333333333,4.277777778,136,19,2,3,4,1,2,0,3,2,0,1,17
R_3kuF7TV2081VCmV,Yanny,59,14,8,14,12,7,4,2.736842105,1.777777778,4.333333333,2.285714286,1.833333333,3.666666667,1.944444444,57,22,2,1,4,1,5,1,4,2,0,1,17
R_3lPmXiGS8gA3SOE,Yanny,86,19,11,20,11,9,16,3.631578947,3.444444444,4.444444444,2.142857143,3.333333333,5.333333333,3.222222222,113,31,2,3,7,0,6,2,7,3,0,1,25
R_3lS1tiltdP7zlLj,Laurel,104,17,18,20,19,16,14,5.605263158,6.111111111,6.111111111,4,6.333333333,6.166666667,5.222222222,145,4,1,0,0,1,0,0,1,0,0,1,4
R_3m4NY3tIJT7g8BE,Yanny,108,20,20,20,14,15,19,4.394736842,4.888888889,4.555555556,1.714285714,5.833333333,5.833333333,3.777777778,128,12,4,0,5,0,1,0,2,0,0,0,11
R_3o6xD1u4wg5juVB,Yanny,79,14,14,16,14,12,9,3.078947368,2.666666667,3.777777778,1.428571429,4,4.166666667,2.611111111,76,23,2,3,5,0,5,1,5,2,0,0,18
R_3Oai0KcR8gU3MMV,Yanny,96,20,20,19,13,15,9,4.184210526,2.888888889,5.111111111,1.714285714,6.666666667,5.833333333,3.333333333,98,4,0,1,1,1,0,0,0,1,0,0,4
R_3ou6bhvNO1VAfoh,Laurel,93,17,16,20,16,13,11,4.052631579,3.777777778,6,1,3.666666667,6.166666667,2.722222222,107,8,1,1,1,0,3,0,1,1,0,0,5
R_3ov2eQnLYyIGuGJ,Laurel,100,18,20,20,16,14,12,4.236842105,4.888888889,4.444444444,2.428571429,4,6,3.555555556,99,13,0,1,5,0,3,1,2,0,0,1,10
R_3OZijobwbaOsyOy,Laurel,76,14,13,17,11,12,9,3.894736842,2.333333333,5.444444444,4,4.666666667,3.666666667,3.555555556,54,16,1,1,5,1,4,2,2,0,0,0,12
R_3pMQCpuuwdRaRGd,Yanny,104,20,18,20,16,18,12,4.552631579,4.555555556,4.666666667,4.428571429,3.666666667,6.166666667,3.888888889,80,3,0,1,1,0,1,0,0,0,0,0,2
R_3pSqYiAjUdO7qru,Laurel,101,17,18,20,14,19,13,4.815789474,4,6.444444444,1.714285714,6.833333333,6,4.5,121,12,2,1,3,0,1,2,1,2,0,0,11
R_3PZQh9TicxyeWHn,Yanny,89,16,14,17,13,13,16,4.421052632,2.777777778,5.555555556,4.142857143,5.166666667,5.5,3.944444444,125,11,0,1,3,1,3,0,1,0,0,1,8
R_3qNNbuiaAiZ5GCZ,Yanny,96,20,20,20,16,12,8,3.842105263,3.555555556,4.777777778,1,5.166666667,5.5,3.055555556,118,6,1,0,1,0,1,0,0,2,0,0,5
R_3qOHnxQNQOZOxzw,Yanny,94,15,15,20,16,12,16,2.973684211,3.111111111,2.444444444,1.142857143,3.666666667,5.5,2.055555556,103,15,3,0,3,1,1,2,2,2,0,0,14
R_3qrJQhuy39xmE2U,Yanny,95,18,19,20,14,12,12,4.394736842,4.111111111,4.777777778,3.285714286,5.333333333,5.333333333,3.833333333,79,7,0,1,3,0,2,0,0,0,0,0,5
R_3Qy7bOhDEomTxTJ,Yanny,101,20,11,20,17,14,19,4.131578947,4.777777778,6.222222222,1,1.833333333,6.666666667,2.833333333,132,6,0,0,1,0,3,1,1,0,0,0,3
R_3r1FgfDBYucYHZO,Yanny,107,19,20,19,14,18,17,5.263157895,3.777777778,7,3.428571429,6.166666667,7,5.055555556,141,6,2,0,0,1,0,0,0,2,0,0,6
R_3r9fu92a52HJOcP,Laurel,77,10,13,14,11,15,14,3.894736842,3.666666667,3.666666667,2.142857143,6.333333333,4.833333333,4.166666667,114,28,1,3,5,1,3,5,5,2,1,2,25
R_3RohiLOkeYEDDzz,Laurel,97,17,19,20,15,18,8,5.184210526,4.333333333,5.888888889,4.857142857,6,5.833333333,5.111111111,77,4,1,0,2,0,0,0,0,0,0,1,4
R_3rOQG7aKSlJoatS,Yanny,105,20,18,20,16,12,19,4.078947368,4,5.333333333,1.714285714,3.333333333,6.5,3.111111111,146,0,0,0,0,0,0,0,0,0,0,0,0
R_3RwMKKmHwVym5s3,Yanny,91,16,18,17,14,13,13,3.078947368,3.111111111,3.666666667,1.142857143,3.166666667,4.833333333,2.333333333,112,2,0,0,0,0,2,0,0,0,0,0,0
R_3ssPy37tbYHzawJ,Laurel,94,17,15,17,16,11,18,4,3.555555556,4.444444444,3.285714286,4.833333333,4.666666667,3.888888889,142,24,3,2,1,0,7,4,3,3,0,0,17
R_3Ubf5t6GnRNsejO,Laurel,116,20,20,20,18,19,19,5.789473684,5.888888889,6.555555556,3.285714286,7.166666667,7,5.166666667,150,4,0,2,0,1,1,0,0,0,0,0,3
R_3umF8emyv55304N,Yanny,80,12,7,16,17,15,13,4.5,3.333333333,6.111111111,3.857142857,4.833333333,5,3.888888889,94,24,2,2,4,0,5,2,4,3,1,1,19
R_3UQye3y9MXlLLwd,Yanny,94,18,15,20,12,15,14,3.684210526,4.333333333,4.333333333,1.285714286,4.666666667,4.166666667,3.333333333,105,16,1,1,4,1,4,0,4,1,0,0,12
R_3v6LWVofOBCFDMA,Yanny,98,15,14,20,15,15,19,5.605263158,4.333333333,6.888888889,4,7,7,5.166666667,134,5,1,1,2,0,0,0,1,0,0,0,5
R_3VrWgOq5aoo6U5n,Yanny,58,8,15,9,8,9,9,3.342105263,3.777777778,3.444444444,2.571428571,3.833333333,3.5,2.944444444,56,9,1,1,2,0,4,1,0,0,0,0,5
R_3W289X045Jd7oRj,Laurel,114,19,20,20,15,20,20,5.763157895,4.888888889,6.777777778,5.714285714,6.333333333,6,5.555555556,165,4,2,0,1,0,0,0,1,0,0,0,4
R_3X57tTBugCpPEv2,Yanny,112,20,17,20,20,20,15,5.342105263,6.333333333,6.666666667,1,6.166666667,7,4.333333333,137,9,0,0,3,0,5,0,1,0,0,0,4
R_3XH0ooG0sjqITnP,Laurel,83,11,17,17,15,9,14,3.210526316,2.777777778,4.555555556,1.142857143,3.333333333,4.666666667,2.111111111,94,23,2,2,4,1,4,2,7,0,0,1,19
R_3Y8FTTKviktyz18,Yanny,65,11,14,16,6,12,6,3.736842105,2.444444444,5.555555556,2.285714286,3.833333333,5.166666667,2.944444444,72,23,0,1,6,1,4,4,4,1,0,2,19
R_3YiavcNfa0RsbXA,Yanny,98,19,13,18,15,17,16,5.684210526,5.222222222,6.333333333,6.285714286,5,6.333333333,5.611111111,123,6,0,0,3,0,0,0,1,2,0,0,6
R_3z8ZYt9D7wZj5l5,Yanny,93,20,12,20,16,14,11,3.342105263,3.666666667,3,2.714285714,2.166666667,5.833333333,2.444444444,106,9,0,2,1,0,5,0,1,0,0,0,4
R_3zF7mENRV5GEwPD,Laurel,111,19,20,20,20,20,12,4.552631579,6.111111111,3.444444444,3.714285714,3.666666667,6.5,4.388888889,93,24,2,3,3,0,5,4,2,3,1,1,19
R_41gIm5YscdHblwJ,Laurel,96,20,20,20,12,10,14,3.078947368,1.666666667,3.555555556,1.857142857,4.5,5,2.611111111,106,8,0,0,3,0,2,0,1,2,0,0,6
R_42LvdZaXCgZ7ZEw,Yanny,111,19,20,20,16,16,20,5.605263158,6.111111111,5,5.285714286,6.666666667,6,5.333333333,167,29,2,3,9,1,3,5,4,0,0,2,26
R_442ScwZki1kT55G,Yanny,101,19,20,20,16,14,12,4.605263158,4.333333333,5.333333333,1.142857143,6.833333333,6.5,3.944444444,112,7,1,0,1,0,4,0,1,0,0,0,3
R_446Ep6xJEF6ILr9,Yanny,94,20,16,17,13,16,12,4.394736842,3,4.888888889,4.285714286,5.166666667,5.833333333,4.166666667,101,16,1,1,6,1,4,0,2,0,0,1,12
R_4a8IbeHTJkqgLe1,Yanny,92,18,10,19,16,13,16,4.105263158,3.777777778,4.111111111,2.714285714,5.166666667,5.833333333,3.444444444,130,15,1,1,3,1,2,1,3,2,0,1,13
R_4DCIOFQ9BZFklP2,Yanny,103,18,17,18,19,15,16,4.157894737,4.333333333,4.555555556,2,5.5,5.166666667,3.777777778,118,10,0,0,1,0,5,1,2,1,0,0,5
R_4nN5lzRSZPgibXH,Yanny,93,15,15,20,14,14,15,4.105263158,4.111111111,4.777777778,3.571428571,3.5,5,3.333333333,123,12,1,1,5,0,1,1,1,1,0,1,11
R_4OiDn2uxaocBPzI,Laurel,96,15,17,18,18,15,13,4.5,4.111111111,5.333333333,2.857142857,5,6,4.166666667,113,16,1,4,2,1,3,1,1,0,1,1,13
R_4ovqn1RDtHAtsyt,Yanny,114,16,20,20,20,20,18,5.368421053,3.888888889,6.555555556,5,7.333333333,5.166666667,4.888888889,141,9,0,1,5,0,1,0,1,1,0,0,8
R_4wQVi6sDpS78i8S,Yanny,94,11,19,20,18,19,7,3.236842105,3.111111111,4.111111111,1.285714286,3.833333333,4.333333333,2.5,102,10,1,1,3,0,4,0,1,0,0,0,6
R_50qEDYlixG7CGE6,Laurel,39,9,9,8,5,4,4,1.789473684,1.111111111,2.444444444,1.285714286,1.833333333,2.666666667,1.166666667,41,25,1,3,7,0,4,2,5,0,1,1,21
R_51jl1Vqsxdj7OaJ,Yanny,74,18,6,16,11,14,9,3.526315789,2.555555556,5.444444444,1,5,4.166666667,2.777777778,68,12,0,0,1,0,6,1,4,0,0,0,6
R_52JiWa30eGuQxQb,Yanny,72,9,17,15,12,10,9,1.736842105,1.333333333,2.333333333,1.857142857,1.666666667,1.666666667,1.333333333,59,17,0,2,4,0,4,1,0,3,1,1,13
R_53X2ENZP8N1ilVV,Yanny,88,15,11,15,15,15,17,4.842105263,3.222222222,5.777777778,4.428571429,7,5,4.722222222,114,15,0,1,3,1,4,1,2,2,0,1,11
R_53xJbxjguuhIS0J,Yanny,70,11,9,20,13,9,8,2.868421053,3.666666667,2.666666667,1.428571429,2.166666667,4.833333333,2.166666667,81,9,0,0,4,0,3,0,2,0,0,0,6
R_54is6YpVG92a5wa,Yanny,97,15,16,17,16,19,14,5.289473684,4.888888889,6.222222222,4.857142857,5.333333333,5.833333333,5.277777778,126,3,1,0,1,0,0,0,0,1,0,0,3
R_56bxT7y7ljShk4L,Laurel,115,19,20,20,18,20,18,6,6.111111111,6.555555556,3.714285714,7.666666667,7,5.611111111,155,4,1,0,0,0,0,0,0,2,0,0,4
R_5772wGWAsqWXafa,Yanny,41,7,6,8,7,8,5,2.263157895,1.444444444,4.222222222,1,1.666666667,3,1.555555556,50,25,1,0,6,0,6,0,8,2,1,0,19
R_58RsHVkXDsNvqGl,Yanny,66,14,10,13,9,13,7,3.184210526,2.444444444,4.222222222,1.428571429,3.833333333,4.666666667,2.444444444,64,13,4,0,3,1,1,1,3,0,0,0,12
R_58UvKsuhmonuzrp,Yanny,109,18,19,20,17,16,19,5.368421053,4.666666667,5.777777778,4.285714286,6.833333333,6.5,4.833333333,149,7,2,0,3,0,0,0,0,0,0,1,7
R_5aADUBwBGvizkJz,Laurel,84,16,11,14,12,16,15,4.684210526,4.888888889,4.777777778,4.142857143,5.166666667,5.166666667,4.722222222,127,7,0,0,5,0,1,0,0,1,0,0,6
R_5BOVbuViJTqYT0L,Laurel,106,18,15,20,16,17,20,5.763157895,5.111111111,6.777777778,3.428571429,8.166666667,6.5,5.888888889,148,9,1,0,3,0,1,0,2,1,0,1,8
R_5CEpirOhwHvZNNn,Laurel,65,11,6,16,14,11,7,2.868421053,2.333333333,3.222222222,2.571428571,4.166666667,2.666666667,3,76,32,0,2,8,0,5,6,6,2,1,2,27
R_5CjQFUtlvpzkvVw,Laurel,83,15,19,15,13,12,9,3.973684211,3.222222222,5.555555556,1.142857143,5.333333333,5.333333333,3.222222222,89,12,1,0,5,1,3,0,2,0,0,0,9
R_5cY59OJwijOnqCE,Yanny,98,15,19,20,16,13,15,3.342105263,3,3.666666667,2.428571429,3.166666667,5.166666667,2.777777778,116,15,0,1,3,1,3,2,3,2,0,0,12
R_5dMRJuCaKzZk0rM,Laurel,42,6,6,8,9,7,6,2.815789474,1.666666667,5,2.285714286,3,2.166666667,2.222222222,58,22,1,2,3,0,8,4,3,0,0,1,14
R_5Dq3ozQeRgyOyRK,Yanny,74,12,17,11,11,14,9,2.631578947,1.444444444,3.777777778,1.857142857,3.833333333,2.833333333,2.444444444,72,12,2,2,1,1,2,3,0,1,0,0,10
R_5dS8xizMsZ2A3WC,Laurel,102,16,19,17,17,18,15,4.868421053,4.666666667,6.888888889,1,5.333333333,7,3.944444444,123,9,0,1,4,1,1,0,0,2,0,0,8
R_5eCsfhfPQNVJB6M,Laurel,105,16,17,20,18,18,16,5.052631579,4.777777778,5.333333333,3.142857143,7.166666667,6,4.944444444,128,12,0,2,2,1,2,3,1,0,0,0,10
R_5edU0riXjx8lVMH,Yanny,66,8,8,16,18,8,8,3.631578947,3.666666667,5.111111111,1.714285714,4,3.833333333,2.944444444,66,27,2,0,6,0,6,5,4,2,0,1,21
R_5fCj8TjhaARd3RT,Yanny,77,16,17,16,10,11,7,3.315789474,1.555555556,5.111111111,2,5.166666667,3.5,3.111111111,65,28,3,4,7,1,7,1,4,0,0,0,21
R_5FKxi41AaM72ki2,Laurel,84,20,11,19,15,9,10,3.736842105,4.222222222,6,1,2.166666667,5,2.5,76,16,0,0,4,1,4,1,3,1,1,1,12
R_5fvT75Xc2YemT0e,Laurel,92,16,14,16,15,15,16,4.947368421,4.444444444,4.666666667,5.428571429,5.833333333,5.5,4.722222222,133,7,4,0,0,1,1,0,0,0,0,0,6
R_5FxGTNXDh4UhPWz,Laurel,94,14,18,17,14,12,19,4.289473684,4,5.111111111,2.142857143,4.666666667,6.333333333,3.444444444,143,23,2,1,6,0,6,1,2,3,0,1,17
R_5g6plKWUQlCfIY1,Yanny,103,19,17,19,12,18,18,4.710526316,3,5.111111111,5.285714286,6,5.5,4.444444444,144,11,0,2,3,0,2,1,1,2,0,0,9
R_5GJ45FMf95KFP9L,Yanny,113,20,20,20,20,15,18,5.789473684,6.666666667,7,1.714285714,7.333333333,6.833333333,5.277777778,146,5,2,0,0,0,0,0,1,1,0,0,5
R_5hDCne6rbrXPreN,Yanny,82,14,17,18,15,6,12,3.289473684,2.666666667,5.111111111,1.714285714,2.166666667,5,2.166666667,80,7,0,0,0,0,3,0,1,2,0,1,4
R_5HivoHSZoAqg8iA,Laurel,108,20,19,20,16,13,20,5.052631579,4.555555556,6.444444444,3.714285714,4.166666667,7,4.555555556,162,18,0,1,6,0,4,2,4,0,0,1,14
R_5HWjH4uBLXza8rn,Laurel,104,19,17,19,16,18,15,3.578947368,4.222222222,4.555555556,1.142857143,3.5,4.666666667,2.833333333,126,10,0,2,3,0,2,1,1,1,0,0,8
R_5ieS1QJeGa5RK5b,Yanny,79,9,14,16,16,14,10,3.5,4.333333333,4.444444444,1,2.666666667,5.166666667,2.5,87,17,2,3,1,0,4,0,4,1,0,1,13
R_5ikIaEXDYK36hkl,Laurel,112,20,18,20,20,17,17,4.684210526,5.333333333,4.888888889,3,4.5,6.333333333,4.222222222,151,2,1,0,1,0,0,0,0,0,0,0,2
R_5K1qxLqigt19508,Yanny,82,14,15,15,13,14,11,5.263157895,3.333333333,5.555555556,6,7.333333333,5.666666667,5.111111111,99,11,1,0,4,1,2,0,1,2,0,0,9
R_5k6qkXJ30pXiYXm,Laurel,95,15,18,19,15,15,13,4.026315789,4,4.111111111,3.571428571,4.833333333,4.333333333,3.888888889,119,14,1,3,0,0,4,0,3,1,0,1,10
